Társasjáték neve;Társasjáték ID;Az alapjáték, ha kiegészítő lenne;Az alapjáték iD-ja;A Játék nyelve;A játék nyelvüggetlen;Van hozzá magyar szabály;Minimális játékosszám;Maximális játékosszám;Kiadás éve;Kiadó;Megjegyzés;Szerző
Menara;075;;;angol;igen;igen;1;4;;;;
Menara: Rituals & Ruins;076;;;angol;igen;igen;1;4;;;;
Mesebeli Birodalmak;077;;;magyar;nem;igen;2;6;;;;
Mikádó;078;;;magyar;igen;igen;1;4;;;;
Mölkky;079;;;magyar;igen;igen;1;100;;Tactic;;
Munchkin;080;;;magyar;nem;igen;3;6;2022;Delta Vision;Nyolcadik kiadás;
My City – Roll & Build;081;;;angol;nem;nem;1;6;;Kosmos;;Reiner Knizia
Nemeton;082;;;német;igen;igen;2;4;;;;
Nova Luna;083;;;angol;igen;igen;1;4;;;;
Okanagan: Valley of the Lakes;084;;;angol;igen;igen;2;4;;;;
Osztályharc: Az 1917-es forradalmak;085;;;magyar;igen;igen;1;2;;;;
Pagony;086;;;magyar;igen;igen;1;1;;;;
Patchwork Doodle;087;;;angol;igen;igen;1;6;;LookOut Games;;Uwe Rosenberg
Patchwork: 10 éves jubileumi kiadás;088;;;magyar;igen;igen;1;2;;;;
Police 07;089;;;magyar;igen;igen;3;6;1986;Novoplast;;
Police 07 Reloade -Second edition;090;;;magyar;igen;igen;3;6;2015;;;
Race to the North Pole;091;;;angol;igen;igen;2;4;;;;
Raiders of the North Sea;092;;;angol;nem;igen;2;4;;;;
Raiders of the North Sea: Hall of Heroes;093;Raiders of the North Sea;092;angol;nem;igen;2;5;;;;
Ramses II.;094;;;német;igen;igen;2;5;1997;;;
Remény Hadművelet;095;;;magyar;igen;igen;2;5;;Reflexshop;;
Schweinsgalopp;096;;;német;igen;igen;2;5;;;;
Star Wars: Lázadás;097;;;magyar;nem;igen;2;4;;;;
Star Wars: Lázadás – A birodalom Felemelkedése;098;Star Wars: Lázadás;097;magyar;nem;igen;2;4;;;;
Stone Age: Jubileum;099;;;magyar;igen;igen;2;4;;;;
Stratego;100;;;multi;igen;nem;2;2;1980;Jumbo multilingual edition 1980 ;;
Sushi GO!;101;;;magyar;igen;igen;2;5;;Reflexshop;;Phil Walker-Harding
Szabadulópakli: Szökés Alcatrazból;102;;;magyar;nem;igen;1;6;;;;
Taluva;103;;;angol;igen;igen;2;4;;;;
Taluva: Extension;104;;;angol;igen;igen;2;5;;;;
The Castles of Burgundy;105;;;angol;igen;igen;1;4;;;;
The Castles of Burgundy: Special Edition;106;;;angol;igen;igen;1;4;;;;
The Castles of Burgundy: Special Edition – Acrylic Hexes;107;The Castles of Burgundy: Special Edition;106;angol;igen;igen;1;4;;;;
The Castles of Burgundy: Special Edition – Acrylic Tiles;108;The Castles of Burgundy: Special Edition;106;angol;igen;igen;1;4;;;;
The Castles of Burgundy: The Dice Game;109;;;angol;igen;igen;1;5;;;;Stefan Feld, Chr. Toussaint
Tikal;110;;;multi;igen;igen;2;4;;;;
Tucano;111;;;magyar;igen;igen;2;4;;;;
Vasútvonal – Sötétkék kiadás;112;;;magyar;igen;igen;1;6;;Delta Vision;;
Vasútvonal – Tűzvörös kiadás;113;;;magyar;igen;igen;1;6;;Delta Vision;;
Vasútvonal kihívás – Bujazöld kihívás;114;;;magyar;igen;igen;1;6;;Delta Vision;;
Vigyáz(z) 6!;115;;;magyar;igen;igen;2;10;;;;
Virágoskert;116;;;magyar;igen;igen;1;4;;;;
Vörös 7 – Print and play;117;;;angol;igen;igen;2;4;;;;
Worms the board game – Collector’s Edition;118;;;angol;nem;igen;2;6;;;;
;119;;;;;;;;;;;
;120;;;;;;;;;;;
;121;;;;;;;;;;;
;122;;;;;;;;;;;
;123;;;;;;;;;;;
;124;;;;;;;;;;;
;125;;;;;;;;;;;
;126;;;;;;;;;;;
;127;;;;;;;;;;;
;128;;;;;;;;;;;
;129;;;;;;;;;;;
;130;;;;;;;;;;;
;131;;;;;;;;;;;
;132;;;;;;;;;;;
;133;;;;;;;;;;;
;134;;;;;;;;;;;
;135;;;;;;;;;;;
;136;;;;;;;;;;;
;137;;;;;;;;;;;
;138;;;;;;;;;;;
;139;;;;;;;;;;;
;140;;;;;;;;;;;
;141;;;;;;;;;;;
;142;;;;;;;;;;;
;143;;;;;;;;;;;
;144;;;;;;;;;;;
;145;;;;;;;;;;;
;146;;;;;;;;;;;
;147;;;;;;;;;;;
;148;;;;;;;;;;;
;149;;;;;;;;;;;
;150;;;;;;;;;;;
;151;;;;;;;;;;;
;152;;;;;;;;;;;
;153;;;;;;;;;;;
;154;;;;;;;;;;;
;155;;;;;;;;;;;
;156;;;;;;;;;;;
;157;;;;;;;;;;;
;158;;;;;;;;;;;
;159;;;;;;;;;;;
;160;;;;;;;;;;;
;161;;;;;;;;;;;
;162;;;;;;;;;;;
;163;;;;;;;;;;;
;164;;;;;;;;;;;
;165;;;;;;;;;;;
;166;;;;;;;;;;;
;167;;;;;;;;;;;
;168;;;;;;;;;;;
;169;;;;;;;;;;;
;170;;;;;;;;;;;
;171;;;;;;;;;;;
;172;;;;;;;;;;;
;173;;;;;;;;;;;
;174;;;;;;;;;;;
;175;;;;;;;;;;;
;176;;;;;;;;;;;
;177;;;;;;;;;;;
;178;;;;;;;;;;;
;179;;;;;;;;;;;
;180;;;;;;;;;;;
;181;;;;;;;;;;;
;182;;;;;;;;;;;
;183;;;;;;;;;;;
;184;;;;;;;;;;;
;185;;;;;;;;;;;
;186;;;;;;;;;;;
;187;;;;;;;;;;;
;188;;;;;;;;;;;
;189;;;;;;;;;;;
;190;;;;;;;;;;;
;191;;;;;;;;;;;
;192;;;;;;;;;;;
;193;;;;;;;;;;;
;194;;;;;;;;;;;
;195;;;;;;;;;;;
;196;;;;;;;;;;;
;197;;;;;;;;;;;
;198;;;;;;;;;;;
;199;;;;;;;;;;;
;200;;;;;;;;;;;
;201;;;;;;;;;;;
;202;;;;;;;;;;;
;203;;;;;;;;;;;
;204;;;;;;;;;;;
;205;;;;;;;;;;;
;206;;;;;;;;;;;
;207;;;;;;;;;;;
;208;;;;;;;;;;;
;209;;;;;;;;;;;
;210;;;;;;;;;;;
;211;;;;;;;;;;;
;212;;;;;;;;;;;
;213;;;;;;;;;;;
;214;;;;;;;;;;;
;215;;;;;;;;;;;
;216;;;;;;;;;;;
;217;;;;;;;;;;;
;218;;;;;;;;;;;
;219;;;;;;;;;;;
;220;;;;;;;;;;;
;221;;;;;;;;;;;
;222;;;;;;;;;;;
;223;;;;;;;;;;;
;224;;;;;;;;;;;
;225;;;;;;;;;;;
;226;;;;;;;;;;;
;227;;;;;;;;;;;
;228;;;;;;;;;;;
;229;;;;;;;;;;;
;230;;;;;;;;;;;
;231;;;;;;;;;;;
;232;;;;;;;;;;;
;233;;;;;;;;;;;
;234;;;;;;;;;;;
;235;;;;;;;;;;;
;236;;;;;;;;;;;
;237;;;;;;;;;;;
;238;;;;;;;;;;;
;239;;;;;;;;;;;
;240;;;;;;;;;;;
;241;;;;;;;;;;;
;242;;;;;;;;;;;
;243;;;;;;;;;;;
;244;;;;;;;;;;;
;245;;;;;;;;;;;
;246;;;;;;;;;;;
;247;;;;;;;;;;;
;248;;;;;;;;;;;
;249;;;;;;;;;;;
;250;;;;;;;;;;;
;251;;;;;;;;;;;
;252;;;;;;;;;;;
;253;;;;;;;;;;;
;254;;;;;;;;;;;
;255;;;;;;;;;;;
;256;;;;;;;;;;;
;257;;;;;;;;;;;
;258;;;;;;;;;;;
;259;;;;;;;;;;;
;260;;;;;;;;;;;
;261;;;;;;;;;;;
;262;;;;;;;;;;;
;263;;;;;;;;;;;
;264;;;;;;;;;;;
;265;;;;;;;;;;;
;266;;;;;;;;;;;
;267;;;;;;;;;;;
;268;;;;;;;;;;;
;269;;;;;;;;;;;
;270;;;;;;;;;;;
;271;;;;;;;;;;;
;272;;;;;;;;;;;
;273;;;;;;;;;;;
;274;;;;;;;;;;;
;275;;;;;;;;;;;
;276;;;;;;;;;;;
;277;;;;;;;;;;;
;278;;;;;;;;;;;
;279;;;;;;;;;;;
;280;;;;;;;;;;;
;281;;;;;;;;;;;
;282;;;;;;;;;;;
;283;;;;;;;;;;;
;284;;;;;;;;;;;
;285;;;;;;;;;;;
;286;;;;;;;;;;;
;287;;;;;;;;;;;
;288;;;;;;;;;;;
;289;;;;;;;;;;;
;290;;;;;;;;;;;
;291;;;;;;;;;;;
;292;;;;;;;;;;;
;293;;;;;;;;;;;
;294;;;;;;;;;;;
;295;;;;;;;;;;;
;296;;;;;;;;;;;
;297;;;;;;;;;;;
;298;;;;;;;;;;;
;299;;;;;;;;;;;
;300;;;;;;;;;;;
